"day_name","hour","trip_demand","avg_trip_duration"
"Saturday","21","517","829.57833655706"
"Saturday","22","528","899.6174242424242"
"Saturday","23","758","807.1912928759895"
"Sunday","0","509","949.0157170923379"
"Sunday","1","317","575.8927444794953"
"Sunday","2","220","625.2727272727273"
"Sunday","3","177","634.0112994350283"
"Sunday","4","162","758.5308641975308"
"Sunday","5","156","995.0705128205128"
"Sunday","6","204","1175.25"
"Sunday","7","223","933.219730941704"
"Sunday","8","343","937.5510204081633"
"Sunday","9","496","910.1229838709677"
"Sunday","10","390","873.7717948717949"
